557	딧
558	딨
559	딩
560	딪
561	따
562	딱
563	딴
564	딸
565	땀
566	땁
567	땃
568	땄
569	땅
570	땋
571	때
572	땍
573	땐
574	땔
575	땜
576	땝
577	땟
578	땠
579	땡
580	떠
581	떡
582	떤
583	떨
584	떪
585	떫
586	떰
587	떱
588	떳
589	떴
590	떵
591	떻
592	떼
593	떽
594	뗀
595	뗄
596	뗌
597	뗍
598	뗏
599	뗐
600	뗑
601	뗘
602	뗬
603	또
604	똑
605	똔
606	똘
607	똥
608	똬
609	똴
610	뙈
611	뙤
612	뙨
613	뚜
614	뚝
615	뚠
616	뚤
617	뚫
618	뚬
619	뚱
620	뛔
621	뛰
622	뛴
623	뛸
624	뜀
625	뜁
626	뜅
627	뜨
628	뜩
629	뜬
630	뜯
631	뜰
632	뜸
633	뜹
634	뜻
635	띄
636	띈
637	띌
638	띔
639	띕
640	띠
641	띤
642	띨
643	띰
644	띱
645	띳
646	띵
647	라
648	락
649	란
650	랄
651	람
652	랍
653	랏
654	랐
655	랑
656	랒
657	랖
658	랗
659	래
660	랙
661	랜
662	랠
663	램
664	랩
665	랫
666	랬
667	랭
668	랴
669	략
670	랸
671	럇
672	량
673	러
674	럭
675	런
676	럴
677	럼
678	럽
679	럿
680	렀
681	렁
682	렇
683	레
684	렉
685	렌
686	렐
687	렘
688	렙
689	렛
690	렝
691	려
692	력
693	련
694	렬
695	렴
696	렵
697	렷
698	렸
699	령
700	례
701	롄
702	롑
703	롓
704	로
705	록
706	론
707	롤
708	롬
709	롭
710	롯
711	롱
712	롸
713	롼
714	뢍
715	뢨
716	뢰
717	뢴
718	뢸
719	룀
720	룁
721	룃
722	룅
723	료
724	룐
725	룔
726	룝
727	룟
728	룡
729	루
730	룩
731	룬
732	룰
733	룸
734	룹
735	룻
736	룽
737	뤄
738	뤘
739	뤠
740	뤼
741	뤽
742	륀
743	륄
744	륌
745	륏
746	륑
747	류
748	륙
749	륜
750	률
751	륨
752	륩
753	륫
754	륭
755	르
756	륵
757	른
758	를
759	름
760	릅
761	릇
762	릉
763	릊
764	릍
765	릎
766	리
767	릭
768	린
769	릴
770	림
771	립
772	릿
773	링
774	마
775	막
776	만
777	많
778	맏
779	말
780	맑
781	맒
782	맘
783	맙
784	맛
785	망
786	맞
787	맡
788	맣
789	매
790	맥
791	맨
792	맬
793	맴
794	맵
795	맷
796	맸
797	맹
798	맺
799	먀
800	먁
801	먈
802	먕
803	머
804	먹
805	먼
806	멀
807	멂
808	멈
809	멉
810	멋
811	멍
812	멎
813	멓
814	메
815	멕
816	멘
817	멜
818	멤
819	멥
820	멧
821	멨
822	멩
823	며
824	멱
825	면
826	멸
827	몃
828	몄
829	명
830	몇
831	몌
832	모
833	목
834	몫
835	몬
836	몰
837	몲
838	몸
839	몹
840	못
841	몽
842	뫄
843	뫈
844	뫘
845	뫙
846	뫼
847	묀
848	묄
849	묍
850	묏
851	묑
852	묘
853	묜
854	묠
855	묩
856	묫
857	무
858	묵
859	묶
860	문
861	묻
862	물
863	묽
864	묾
865	뭄
866	뭅
867	뭇
868	뭉
869	뭍
870	뭏
871	뭐
872	뭔
873	뭘
874	뭡
875	뭣
876	뭬
877	뮈
878	뮌
879	뮐
880	뮤
881	뮨
882	뮬
883	뮴
884	뮷
885	므
886	믄
887	믈
888	믐
889	믓
890	미
891	믹
892	민
893	믿
894	밀
895	밂
896	밈
897	밉
898	밋
899	밌
900	밍
901	및
902	밑
903	바
904	박
905	밖
906	밗
907	반
908	받
909	발
910	밝
911	밞
912	밟
913	밤
914	밥
915	밧
916	방
917	밭
918	배
919	백
920	밴
921	밸
922	뱀
923	뱁
924	뱃
925	뱄
926	뱅
927	뱉
928	뱌
929	뱍
930	뱐
931	뱝
932	버
933	벅
934	번
935	벋
936	벌
937	벎
938	범
939	법
940	벗
941	벙
942	벚
943	베
944	벡
945	벤
946	벧
947	벨
948	벰
949	벱
950	벳
951	벴
952	벵
953	벼
954	벽
955	변
956	별
957	볍
958	볏
959	볐
960	병
961	볕
962	볘
963	볜
964	보
965	복
966	볶
967	본
968	볼
969	봄
970	봅
971	봇
972	봉
973	봐
974	봔
975	봤
976	봬
977	뵀
978	뵈
979	뵉
980	뵌
981	뵐
982	뵘
983	뵙
984	뵤
985	뵨
986	부
987	북
988	분
989	붇
990	불
991	붉
992	붊
993	붐
994	붑
995	붓
996	붕
997	붙
998	붚
999	붜
1000	붤
1001	붰
1002	붸
1003	뷔
1004	뷕
1005	뷘
1006	뷜
1007	뷩
1008	뷰
1009	뷴
1010	뷸
1011	븀
1012	븃
1013	븅
1014	브
1015	븍
1016	븐
1017	블
1018	븜
1019	븝
1020	븟
1021	비
1022	빅
1023	빈
1024	빌
1025	빎
1026	빔
1027	빕
1028	빗
1029	빙
1030	빚
1031	빛
1032	빠
1033	빡
1034	빤
1035	빨
1036	빪
1037	빰
1038	빱
1039	빳
1040	빴
1041	빵
1042	빻
1043	빼
1044	빽
1045	뺀
1046	뺄
1047	뺌
1048	뺍
1049	뺏
1050	뺐
1051	뺑
1052	뺘
1053	뺙
1054	뺨
1055	뻐
1056	뻑
1057	뻔
1058	뻗
1059	뻘
1060	뻠
1061	뻣
1062	뻤
1063	뻥
1064	뻬
1065	뼁
1066	뼈
1067	뼉
1068	뼘
1069	뼙
1070	뼛
1071	뼜
1072	뼝
1073	뽀
1074	뽁
1075	뽄
1076	뽈
1077	뽐
1078	뽑
1079	뽕
1080	뾔
1081	뾰
1082	뿅
1083	뿌
1084	뿍
1085	뿐
1086	뿔
1087	뿜
1088	뿟
1089	뿡
1090	쀼
1091	쁑
1092	쁘
1093	쁜
1094	쁠
1095	쁨
1096	쁩
1097	삐
1098	삑
1099	삔
1100	삘
1101	삠
1102	삡
1103	삣
1104	삥
1105	사
1106	삭
1107	삯
1108	산
1109	삳
1110	살
1111	삵
1112	삶
1113	삼
1114	삽
1115	삿
1116	샀
1117	상
1118	샅
1119	새
1120	색
1121	샌
1122	샐
1123	샘
1124	샙
1125	샛
1126	샜
1127	생
1128	샤
1129	샥
1130	샨
1131	샬
1132	샴
1133	샵
1134	샷
1135	샹
1136	섀
1137	섄
1138	섈
1139	섐
1140	섕
1141	서
1142	석
1143	섞
1144	섟
1145	선
1146	섣
1147	설
1148	섦
1149	섧
1150	섬
1151	섭
1152	섯
1153	섰
1154	성
1155	섶
1156	세
1157	섹
1158	센
1159	셀
1160	셈
1161	셉
1162	셋
1163	셌
1164	셍
1165	셔
1166	셕
1167	션
1168	셜
1169	셤
1170	셥
1171	셧
1172	셨
1173	셩
1174	셰
1175	셴
1176	셸
1177	솅
1178	소
1179	속
1180	솎
1181	손
1182	솔
1183	솖
1184	솜
1185	솝
1186	솟
1187	송
1188	솥
1189	솨
1190	솩
1191	솬
1192	솰
1193	솽
1194	쇄
1195	쇈
1196	쇌
